dataset,model,seed,data_ratio,train_size,hyperparams,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,per_class_f1,train_time,inference_time,throughput,model_size_mb
ag_news,tfidf_svm,456,1.0,108000,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.9261666666666667,0.9259408032295955,0.9213157894736842,0.9210702063236408,"[0.9228709159078736, 0.9695247933884298, 0.8908898305084746, 0.9009952854897852]",15.22825002670288,0.3353116512298584,22665.481417435592,0.1
ag_news,tfidf_svm,42,0.5,54000,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.9190833333333334,0.9187950149120838,0.9142105263157895,0.9139291435152836,"[0.9153269024651661, 0.9659442724458205, 0.8811854988092088, 0.8932599003409389]",6.9937520027160645,0.35023999214172363,21699.406608382636,0.1
ag_news,tfidf_svm,123,0.5,54000,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.9191666666666667,0.9188696781700328,0.9146052631578947,0.9143338519318156,"[0.9162877774806097, 0.9666924864446166, 0.8811410459587956, 0.8932140978432404]",6.671686887741089,0.2719449996948242,27946.82751486034,0.1
ag_news,tfidf_svm,456,0.5,54000,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.9198333333333333,0.9195650994245439,0.9142105263157895,0.9139290502985262,"[0.9160427807486631, 0.966959215281363, 0.88107822410148, 0.8916359810625987]",6.875391960144043,0.28136706352233887,27010.97955410337,0.1
ag_news,tfidf_svm,42,0.25,27000,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.9125833333333333,0.9122396422558391,0.9063157894736842,0.90591424434382,"[0.9084601014144649, 0.9598765432098766, 0.8691713296029843, 0.8861490031479539]",2.372274875640869,0.2748091220855713,27655.55940182174,0.1
ag_news,tfidf_svm,123,0.25,27000,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.91275,0.9124094921004666,0.9063157894736842,0.9059592555925586,"[0.9104954714970698, 0.9615880381541635, 0.8702817650186071, 0.8814717477003943]",2.806821823120117,0.4073319435119629,18658.001467976686,0.1
ag_news,tfidf_svm,456,0.25,27000,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.9125,0.9121682231584081,0.9073684210526316,0.907043023289773,"[0.9098207118009098, 0.96086508753862, 0.8730535761414622, 0.8844327176781003]",2.7912960052490234,0.2651031017303467,28668.09158547849,0.1
ag_news,tfidf_svm,42,0.1,10800,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.90075,0.9003223576297131,0.896578947368421,0.8961269300130467,"[0.8998401704848162, 0.9535301668806162, 0.8585831785619528, 0.8725542041248017]",0.9235498905181885,0.3048367500305176,24931.377201860192,0.1
ag_news,tfidf_svm,123,0.1,10800,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8991666666666667,0.89869153221147,0.8932894736842105,0.892751807431479,"[0.902075572112826, 0.9511133862298439, 0.8547828403943512, 0.8630354309888948]",0.9407391548156738,0.26319074630737305,28876.39518725394,0.1
ag_news,tfidf_svm,456,0.1,10800,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.9001666666666667,0.8997367466808905,0.8943421052631579,0.8938349998173397,"[0.8987206823027718, 0.9541143296590617, 0.8561552778516353, 0.8663497094558901]",0.8652291297912598,0.29317378997802734,25923.19047541597,0.1
ag_news,tfidf_svm,42,0.05,5400,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.88975,0.8892291848655814,0.883421052631579,0.8828025665269253,"[0.8892438764643238, 0.9445721583652618, 0.8432, 0.8541942312781159]",0.47284913063049316,0.2557201385498047,29719.990154470393,0.1
ag_news,tfidf_svm,123,0.05,5400,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.88725,0.8867387892782274,0.8814473684210526,0.8808399083602365,"[0.8873501997336884, 0.9403061224489796, 0.8445033112582782, 0.8512]",0.40596914291381836,0.26053404808044434,29170.851395412894,0.1
ag_news,tfidf_svm,456,0.05,5400,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.89,0.8894595907918905,0.8842105263157894,0.8835655155821501,"[0.8902439024390244, 0.9475837381743799, 0.8437832093517534, 0.8526512123634425]",0.41463804244995117,0.2503228187561035,30360.795862581315,0.1
ag_news,tfidf_svm,42,0.01,1080,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.83525,0.8337545718298007,0.8307894736842105,0.8289219287414372,"[0.8446526151444185, 0.8930600148184737, 0.787011557512383, 0.7909635274904736]",0.09745097160339355,0.26723790168762207,28439.07975629797,0.1
ag_news,tfidf_svm,123,0.01,1080,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8475,0.8464503848471514,0.8352631578947368,0.8339577789761187,"[0.8482956023939631, 0.9072478459199189, 0.787945205479452, 0.7923424621111407]",0.07859110832214355,0.23981499671936035,31691.095652761775,0.1
ag_news,tfidf_svm,456,0.01,1080,"{""model_type"": ""svm"", ""C"": 0.1, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.84675,0.8454488604450996,0.8409210526315789,0.839469528615696,"[0.851687156683233, 0.907040841894262, 0.806347498655191, 0.7928026172300982]",0.07696223258972168,0.2332470417022705,32583.478635073378,0.1
imdb,tfidf_lr,42,1.0,35020,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.8731283422459893,0.8730329758287555,0.8764,0.8763498782857742,"[0.8738603891685943, 0.8788393674029539]",4.956143140792847,0.7571651935577393,9905.36815983218,0.1
imdb,tfidf_lr,123,1.0,35020,"{""model_type"": ""lr"", ""C"": 0.1, ""max_features"": 10000, ""ngram_range"": [1, 1]}",0.8731283422459893,0.8730329758287555,0.8764,0.8763498782857742,"[0.8738603891685943, 0.8788393674029539]",5.54541015625,0.7578251361846924,9896.742192742664,0.1
